Animal,Channel,Baseline_Entropy_Mean,Entropy_Mean,Baseline_Entropy_Std,Entropy_Std,Event_type,Coact_Type,,Animal_Type
pig1742,channel16,0.454859101,0.455070066,0.06264387,0.062593065,Non Event,Coact_STD,,N
pig1742,channel2,0.389192552,0.383572306,0.074787239,0.052126141,Event,Coact_Mean,,N
pig1742,channel2,0.389192552,0.389258488,0.074787239,0.075009982,Non Event,Coact_Mean,,N
pig1742,channel2,0.389192552,0.362865607,0.074787239,0.052302011,Event,Coact_STD,,N
pig1742,channel2,0.389192552,0.389403102,0.074787239,0.074902587,Non Event,Coact_STD,,N
pig1742,channel3,0.315250695,0.288758297,0.078504527,0.036780924,Event,Coact_Mean,,N
pig1742,channel3,0.315250695,0.315648649,0.078504527,0.078895594,Non Event,Coact_Mean,,N
pig1742,channel3,0.315250695,0.298825628,0.078504527,0.031728,Event,Coact_STD,,N
pig1742,channel3,0.315250695,0.315394706,0.078504527,0.078776798,Non Event,Coact_STD,,N
pig1742,channel4,0.299591102,0.264950562,0.07686875,0.051229541,Event,Coact_Mean,,N
pig1742,channel4,0.299591102,0.300095953,0.07686875,0.077064437,Non Event,Coact_Mean,,N
pig1742,channel4,0.299591102,0.248861557,0.07686875,0.030044604,Event,Coact_STD,,N
pig1742,channel4,0.299591102,0.300062566,0.07686875,0.077014223,Non Event,Coact_STD,,N
pig1742,channel5,0.367119155,0.347539631,0.061358821,0.03910108,Event,Coact_Mean,,N
pig1742,channel5,0.367119155,0.367385453,0.061358821,0.061563232,Non Event,Coact_Mean,,N
pig1742,channel5,0.367119155,0.351140875,0.061358821,0.036747978,Event,Coact_STD,,N
pig1742,channel5,0.367119155,0.367265199,0.061358821,0.061519256,Non Event,Coact_STD,,N
pig1742,channel6,0.34405586,0.279777974,0.068746701,0.047645141,Event,Coact_Mean,,N
pig1742,channel6,0.34405586,0.344984318,0.068746701,0.068564158,Non Event,Coact_Mean,,N
pig1742,channel6,0.34405586,0.275142781,0.068746701,0.045685385,Event,Coact_STD,,N
pig1742,channel6,0.34405586,0.344716288,0.068746701,0.06859629,Non Event,Coact_STD,,N
pig1742,channel7,0.323592906,0.309675432,0.071363183,0.044082697,Event,Coact_Mean,,N
pig1742,channel7,0.323592906,0.323750879,0.071363183,0.071597686,Non Event,Coact_Mean,,N
pig1742,channel7,0.323592906,0.307490657,0.071363183,0.046814009,Event,Coact_STD,,N
pig1742,channel7,0.323592906,0.323720412,0.071363183,0.071509492,Non Event,Coact_STD,,N
pig1742,channel8,0.435564047,0.330444161,0.095865991,0.050783985,Event,Coact_Mean,,N
pig1742,channel8,0.435564047,0.438535134,0.095865991,0.09516302,Non Event,Coact_Mean,,N
pig1742,channel8,0.435564047,0.320271619,0.095865991,0.055241678,Event,Coact_STD,,N
pig1742,channel8,0.435564047,0.437559788,0.095865991,0.095197022,Non Event,Coact_STD,,N
pig1742,channel9,0.389112796,0.385378867,0.071460759,0.046415147,Event,Coact_Mean,,N
pig1742,channel9,0.389112796,0.389162715,0.071460759,0.071735069,Non Event,Coact_Mean,,N
pig1742,channel9,0.389112796,0.391568621,0.071460759,0.050265286,Event,Coact_STD,,N
pig1742,channel9,0.389112796,0.389088805,0.071460759,0.07163648,Non Event,Coact_STD,,HF
pig1670,channel1,0.247950003,0.227094421,0.068396871,0.083486491,Event,Coact_Mean,,HF
pig1670,channel1,0.247950003,0.251858422,0.068396871,0.064434771,Non Event,Coact_Mean,,HF
pig1670,channel1,0.247950003,0.230113754,0.068396871,0.063865503,Event,Coact_STD,,HF
pig1670,channel1,0.247950003,0.249615056,0.068396871,0.068568287,Non Event,Coact_STD,,HF
pig1670,channel10,0.317040035,0.308758361,0.082827724,0.089742367,Event,Coact_Mean,,HF
pig1670,channel10,0.317040035,0.318496154,0.082827724,0.0814644,Non Event,Coact_Mean,,HF
pig1670,channel10,0.317040035,0.308890697,0.082827724,0.07806304,Event,Coact_STD,,HF
pig1670,channel10,0.317040035,0.317845554,0.082827724,0.083240568,Non Event,Coact_STD,,HF
pig1670,channel11,0.314554006,0.268789715,0.079143717,0.086092347,Event,Coact_Mean,,HF
pig1670,channel11,0.314554006,0.322520598,0.079143717,0.075071998,Non Event,Coact_Mean,,HF
pig1670,channel11,0.314554006,0.290288157,0.079143717,0.078200168,Event,Coact_STD,,HF
pig1670,channel11,0.314554006,0.316635565,0.079143717,0.078877244,Non Event,Coact_STD,,HF
pig1670,channel12,0.327549023,0.297445612,0.081654069,0.097374595,Event,Coact_Mean,,HF
pig1670,channel12,0.327549023,0.332077526,0.081654069,0.078020369,Non Event,Coact_Mean,,HF
pig1670,channel12,0.327549023,0.315357994,0.081654069,0.087041066,Event,Coact_STD,,HF
pig1670,channel12,0.327549023,0.328507393,0.081654069,0.081137815,Non Event,Coact_STD,,HF
pig1670,channel13,0.314732107,0.307607106,0.07597423,0.093570447,Event,Coact_Mean,,HF
pig1670,channel13,0.314732107,0.315949295,0.07597423,0.07247258,Non Event,Coact_Mean,,HF
pig1670,channel13,0.314732107,0.322734892,0.07597423,0.103774795,Event,Coact_STD,,HF
pig1670,channel13,0.314732107,0.313846423,0.07597423,0.072188433,Non Event,Coact_STD,,HF
pig1670,channel14,0.301888318,0.276608352,0.079266544,0.092220125,Event,Coact_Mean,,HF
pig1670,channel14,0.301888318,0.305629945,0.079266544,0.076457949,Non Event,Coact_Mean,,HF
pig1670,channel14,0.301888318,0.307258223,0.079266544,0.093694971,Event,Coact_STD,,HF
pig1670,channel14,0.301888318,0.301497952,0.079266544,0.078099433,Non Event,Coact_STD,,HF
pig1670,channel15,0.277887431,0.238184411,0.081135419,0.088627172,Event,Coact_Mean,,HF
pig1670,channel15,0.277887431,0.284291143,0.081135419,0.077990832,Non Event,Coact_Mean,,HF
pig1670,channel15,0.277887431,0.257094272,0.081135419,0.073636206,Event,Coact_STD,,HF
pig1670,channel15,0.277887431,0.279777718,0.081135419,0.081520507,Non Event,Coact_STD,,HF
pig1670,channel16,0.315966374,0.277805725,0.081022925,0.082699585,Event,Coact_Mean,,HF
pig1670,channel16,0.315966374,0.322999905,0.081022925,0.078716227,Non Event,Coact_Mean,,HF
pig1670,channel16,0.315966374,0.301449108,0.081022925,0.087627548,Event,Coact_STD,,HF
pig1670,channel16,0.315966374,0.317079105,0.081022925,0.080386227,Non Event,Coact_STD,,HF
pig1670,channel4,0.316192208,0.278923403,0.084664703,0.09166766,Event,Coact_Mean,,HF
pig1670,channel4,0.316192208,0.322974011,0.084664703,0.081514809,Non Event,Coact_Mean,,HF
